Question,Answer
How do you balance your studies with exploring new places?,"I pay full attention to my studies in weekdays, and keep weekends for outdoor activities or visiitng new places."
What do you do for fun on weekends?,"I usually watch IU basketball game in the Assembly Hall. If there is no game, I go jogging, do yoga, or weight-lifting in SRSC. "
"Do you use X (formerly Twitter)? If so, for what purpose?",I rarely use X. I usually use it to catch up the activities of Japanese celebrities or check out the drama that Elon Musk or Trump have made. 
How do you manage travel expenses while studying abroad?,"I traveled out of state not more than 2 times a year, and set a budget for each trip. For example, no more than $70 for a hotel one night."
How do you feel about the increasing use of AI in law enforcement?,"It will be efficient and objective, if we have a fair and ethical AI application."
"What's the most recent movie you watched, and what was your op",The last movie I saw was Home Alone - series 1.  The boy Kevin is a genious and it was so much fun to see him trick the theives away from his house.
"Do you play any games? If so, which ones and why? If not, why not?","I play Switch and PS5. I usuaully play role-playing adventurous games, like Hogwarts Legancy. I play games for relaxing and absorbing the excitement and imagination I cannot acquire in the real life."
What are your thoughts on climate change?,"It's unstoppable. I know we need to reduce pollution and save natural resources to restore our earth, but I think it's also part of lifecycle just like millions years ago when dianosours extincted."
"What was the last book you read, and what did you think about it?","The last book I read was Dashboard Design, which introduces plenty of visualization cases in different disciplines. I love the dashboard design introduced in the book - clean, informative, and use relevant and consistent colors. "
"Do you believe privacy is more important than security, or vice versa? Explain your stance.","Security comes first to me, but it only applies when the service or agent your are provide your private information with is reliable. For example, hospitals. You won't say I don't want doctors to know my healthcare data because of privacy concerns."
